keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
compete (v.),比賽,The students compete to see who can ride a bicycle the slowest.,學生比賽看誰騎腳踏車最慢。,They compete against each other on the running track.,他們在跑道上相互競爭。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=lO3_AXYvqYE
singing competition (n.),歌唱比賽,The students compete in a singing competition.,學生們參加歌唱比賽。,They sing English songs in the singing competition.,他們在歌唱比賽中唱英文歌曲。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=L8zHkEWPkMg
English song (n.),英語歌謠,Singing English songs is a great way to practice English.,唱英文歌是練習英文很棒的方式。,Students sing English songs while moving their bodies to the rhythm.,同學們唱英文歌時，身體隨著節奏擺動。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=4r-iwTII49Q
soccer practice (n.),足球訓練,The students dribble soccer balls in soccer practice.,學生在足球練習中運球。,They have to dribble around the cones in soccer practice.,在足球訓練中他們必須繞著圓錐體運球。,彰化縣和美鎮新庄國小,https://www.youtube.com/watch?v=POytUFfnj38
loquat (n.),枇把,The students eat loquats in class.,學生們在課堂上吃枇杷。,They pick the loquats from a tree.,他們從樹上摘枇杷。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=L2BFpR6lsKs
prune (v.),修剪,The students learn how to prune guava trees.,學生學習如何修剪番石榴樹。,The teachers use pruning shears to prune the guava trees.,老師們用修枝剪修剪番石榴樹。,彰化縣社頭鄉朝興國小,https://www.youtube.com/watch?v=0Nbf27oSIwc
Easter (n.),復活節,The school celebrates Easter.,學校慶祝復活節。,The teachers give students chocolate Easter eggs for Easter.,學生們為復活節送給學生復活節彩蛋巧克力。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=HfnRnMNw8xw
dance  (v.),跳舞,The dancers teach students dance moves.,舞者教學生舞蹈動作。,The students try different dance moves.,學生們嘗試不同的舞蹈動作。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=BjIfWKeX_8g
excavator (n.),挖土機,The excavator is used to move dirt and rocks.,挖掘者用於移動泥土和岩石。,Excavators are heavy construction equipment.,挖土機是重型建築設備。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=ci57Bz-zyC0
charity event (n.),慈善活動,The school holds a charity event.,學校舉辦慈善活動。,The students sell items during the charity event.,句子若有不符狀況可以告知，重新造 學生在慈善活動期間出售物品。,彰化縣竹塘鄉土庫國小,https://www.youtube.com/watch?v=aHxDdb3zXYE
check-in (v.),檢核,The students say English sentences for their check-in.,學生們說英語句子進行認證。,They get a stamp at the end of the check-in.,通過認證，他們會得一個戳印（蓋章）。,彰化縣和美鎮和仁國小,https://www.youtube.com/watch?v=HiYVycOD4rU
gimbap (n.),海苔飯捲,"Students make gimbap, a delicious Korean dish, in class.",學生們在課堂上製作紫菜包飯，這是一道美味的韓國菜餚。,They prepare many ingredients to make gimbap.,他們準備了許多製作紫菜包飯的原料。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=OgkQEHOxIQw
fitness test (n.),體適能測驗,The students are practicing for their fitness test.,學生們正在為體能測驗進行練習。,A fitness test may include sit-ups and stretches.,體能測試可能包括仰臥起坐和伸展運動。,彰化縣鹿港鎮文開國小,https://www.youtube.com/watch?v=0suUbI4zveU
fire extinguisher (n.),滅火器,The students practice using fire extinguishers.,學生練習使用滅火器。,They learn how to use fire extinguishers in case of an emergency.,他們學習如何在緊急情況下使用滅火器。,彰化縣田中鎮新民國小,https://www.youtube.com/watch?v=sFymiWibpCM
desktop computer (n.),桌上型電腦,The teacher uses a desktop computer to do her work.,老師使用桌上型電腦來完成她的工作。,She uses a desktop computer every day to get her work done.,她每天都使用桌上型電腦來完成工作。,彰化縣鹿港鎮文開國小,https://www.youtube.com/watch?v=6KoU5c0Avyk
unicycle (n.),獨輪車,The students ride unicycles.,學生騎獨輪車。,They hold hands while they ride unicycles.,他們騎獨輪車時手牽手。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=KjdoSVoQjuY
jump rope competition (n.),跳繩比賽,The students participate in a jump rope competition.,學生們參加跳繩比賽。,Many students participate in the jump rope competition.,許多學生參加跳繩比賽。,彰化縣芳苑鄉王功國小,https://www.youtube.com/watch?v=mh4-9O0hC3Q
dribble (v.),運球,The students dribble a basketball.,學生們正在運球。,The teacher shows the students how to dribble a basketball.,老師向學生展示如何運球。,彰化縣鹿港鎮文開國小,https://www.youtube.com/watch?v=VDx1mAgSD04
serve (v.),打菜、盛菜,"During school lunch, students are served food or serve themselves.",學校午餐期間，有學生為同學打菜或自行打菜。,School lunch is always served healthy.,學校午餐總是健康的。,彰化縣和美鎮新庄國小,https://www.youtube.com/watch?v=qwx-B1t45u4
hopscotch (n.),跳格子、跳房子,"The kids are playing hopscotch, jumping with care from square to square.",孩子們正在玩跳格子，他們小心地從一個格子跳到另一個格子。,Hopscotch is a fun game that helps students with their numbers and balance.,跳格子是有趣的遊戲，可以幫助學生學習數字和平衡。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=UoEi0jgDGHw
science class (n.),自然科學課,The teacher is lecturing in science class.,學生們正在上自然科學課。,The students are learning how a jack lifts heavy things in science class.,在自然科學課，學生們正在學習千斤頂如何舉起重物。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=JFS9o06SuG0
plant (n.),植物,The students study the growth of plants.,學生研究植物的生長。,They look at plants at different stages of their growth.,他們觀察處於不同生長階段的植物。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=BDK4VL0HSAM
water bottle (n.),水壺,Students drink water from their water bottles.,學生們從水瓶裡喝水。,Using water bottles helps protect the environment.,使用水瓶有助於保護環境。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=txGQHoZTOy4
spring scale (n.),彈簧秤,The students use spring scales in class.,學生在課堂上使用彈簧秤。,They do an experiment with spring scales.,他們用彈簧秤做了一個實驗。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=HxWbQPoqjG0
school gate (n.),校門,The school gate opens.,校門打開了。,The school gate is open during school hours.,在上學期間，校門開放。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=EB7hhy5F5KE
kindergarten (n.),幼稚園,Children play different games in kindergarten.,小朋友在幼兒園玩不同的遊戲。,"In kindergarten, students learn basic skills.",學生在幼兒園學習基本的技能。,彰化縣和美鎮和仁國小,https://www.youtube.com/watch?v=_KtxRr3WK7I
judo (n.),柔道,The students practice judo.,學生們練習柔道。,They grab each other when they train for judo.,在柔道訓練時他們互相擒拿彼此。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=FfROc-lsJZY
Taiwanese opera (n.),歌仔戲,The students practice for a Taiwanese opera performance.,學生們練習台劇表演。,They have to work hard for the Taiwanese opera performance.,他們要為台劇表演而努力。,彰化縣社頭鄉朝興國小,https://www.youtube.com/watch?v=LwG8kt8kK9w
lunch (n.),午餐,The students eat lunch in the classroom.,同學們在教室吃午餐。,They always eat lunch at their desk.,他們總是在自己的書桌上吃午餐。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=I6fFfw-wZT8
pick (v.),摘、採收,The students pick red Roselle flowers.,學生們採摘紅色的洛神花。,They use pruning shears to pick the flowers.,他們用修枝剪來摘花。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=ZRXBcaxxPYY
water (v.),澆水,The students water the tomato plants at school.,學生們在學校給蕃茄苗澆水。,They learn how to carefully water the plants to help them grow.,他們學習如何小心地澆水以幫助植物生長。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=oi63hPvLB28
basketball practice (n.),籃球訓練,The students are outside for basketball practice.,同學們在外面做籃球訓練。,They work hard during basketball practice.,他們非常認真地做籃球訓練。,彰化縣社頭鄉朝興國小,https://www.youtube.com/watch?v=rGQRP3jB4mo
alphabet (n.),字母,The students learn how to write the alphabet in class.,學生在課堂上學習如何書寫字母。,They write the alphabet on the blackboard.,他們把字母寫在黑板上。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=rHFf8sw5hYk
first grader (n.),一年級生,The first graders follow the teacher's instructions.,一年級學生聽從老師的指示。,The first graders enjoy their class.,一年級學生喜歡學習。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=ni71EnsSYTo
science museum (n.),科學博物館,The students go to a science museum.,學生們去科學博物館。,They learn many new things at the science museum.,他們在科學博物館學到了很多新東西。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=XfNNkA_rBsw
rehearsal (v.),排練,The students have a rehearsal for their sports day later.,同學們為即將到來的運動會排練。,The students practice their dance at the rehearsal.,同學們在排練跳舞。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=2YgO4heLYts
recite (v.),背誦,The students recite words in English.,同學們背誦英文單字。,The teacher checks to make sure the students are reciting the words correctly.,老師檢查並確認學生們是否有正確背誦英文單字。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=786o-ff5l5c
assemble (v.),組裝,The students assemble their robots.,學生們組裝他們的機器人。,They follow the instructions to assemble their robots.,他們按照說明組裝機器人。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=ofXiUW5kdzc
tell time (v.),看時間,The students learn how to tell time in class.,學生在課堂上學習如何看時間。,They use a clock to learn how to tell time.,他們使用時鐘來學習如何看時間。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=52iouShTkGE
storyteller (n.),說故事的人,A good storyteller teaches a lesson and entertains you at the same time.,一個擅長講說故事的人可以教導大家道理，同時又兼具娛樂大眾。,The storytellers can use real or fictional information to tell a story.,說故事的人可能用真實或者是虛構的情節來說故事。,彰化縣社頭鄉朝興國小,https://www.youtube.com/watch?v=UyPzu_yq7Hc
PE class (n.),體育課,The students play outside during PE class.,學生們得以在體育課期間在外面玩耍。,They run around during PE class.,他們在體育課上跑來跑去運動。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=WaVtia46duA
lunch (n.),午餐,The students serve themselves lunch.,學生們自己盛飯菜午餐。,They eat lunch in the classroom.,他們在教室裡吃午餐。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=rjfqztXV8Tk
story (n.),故事,The students listen to a story in English.,學生聽一個英語故事。,They listen to a story in the library.,他們在圖書館聽故事。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=jIORhGbegW0
unicycle (n.),獨輪車,The students practice riding unicylces.,學生練習騎獨輪車。,They use a handrail to help them balance themselves on the unicycles.,他們使用扶手來幫助他們在獨輪車上保持平衡。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=4pwqo2p_5sg
lion dance (n.),舞獅,The lion dance is a traditional dance performed during the Lunar NewYear.,舞獅是農曆新年期間表演的傳統舞蹈。,"Some students perform the lion dance, while other students play percussion instruments.",有些學生表演舞獅，有些學生則演奏打擊樂器。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=_LicXch0Qdw
teeth (n.),牙齒,A dentist talks to the students about their teeth.,牙醫與學生談論有關他們的牙齒知識。,The students learn about teeth in class.,學生在課堂上學習有關牙齒的知識。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=1CKgEhWmQ2Y
story (n.),故事,The students listen to a story in class.,學生在課堂上聽故事。,They listen to the story in English.,他們用英語聽故事。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=MpeE34qZgm0
violin (n.),小提琴,The students practice the violin in class.,學生們在課堂上練習小提琴。,They follow the teacher's instructions to play the violin.,他們按照老師的指示拉小提琴。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=cw-bw5jsME4
vaccination (n.),接種疫苗,The students get a vaccination.,學生們接種疫苗。,They wait in line to get a vaccination.,他們排隊等待接種疫苗。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=ipf89e412dA
eye test (n.),視力檢查,The students take an eye test.,學生們進行視力檢查。,They take an eye test in the nurse's office.,他們在護士辦公室進行視力檢查。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=VWgOUna4sCM
cooking class (n.),烹飪課,The students make candied haws in cooking class.,烹飪課上，學生製作糖葫蘆。,They learn how to make candied haws in cooking class.,他們在烹飪課上學習如何製作糖葫蘆。,彰化縣田中鎮新民國小,https://www.youtube.com/watch?v=t7sr4ZOlofQ
go to school (v.),上學,The students go to school in the morning.,同學們早上上學去,They greet the teacher and enter their classroom when they go to school.,他們上學時，會跟老師問候然後進到教室去。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=kTXofJNWGx8
color (n.),顏色,Some pieces of art aren't finished until the artist has added color.,有些藝術作品必須等藝術家上好顏色才算完成。,These students are using markers and colored pencils to add color to their drawings.,這些學生用馬克筆與色鉛筆來為他們的圖畫上顏色。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=dQj-nfchySI
social studies (n.),社會科,The teacher is teaching social studies.,這位老師正在教社會科。,The students pay attention to the teacher teaching social studies.,學生們在老師教社會科的時候全神貫注。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=j1dnx1Clnd8
wash your hands (v.),洗手,It's important to wash your hands after using the bathroom.,上完廁所後洗手是很重要的。,Make sure to wash your hands with soap and water before eating.,確定在吃東西之前要用香皂和水來洗手。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=-z5e0b9oOlY
inflatable pool (n.),充氣泳池,The students play in a big inflatable pool.,學生們在一個大的充氣水池裡玩耍。,They play with toys in the inflatable pool.,他們在充氣泳池裡玩玩具。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=i-n_9z1T5Yg
dialogue (n.),對話,The students practice a dialogue from their textbook.,學生們練習課本上的對話。,They read an English dialogue from their textbook.,他們從課本上讀了一段英語對話。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=Apvw7kopTp0
correct (v.),改正,The teachers correct the students' work.,老師改同學的作業。,They use a red pen to correct the students' work.,他們使用紅筆來改學生的作業。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=oHZdWXr8l5k
sweep (v.),掃,"Every day, students sweep away fallen leaves on school grounds.         """,每天學生打掃校園的落葉。,"Students in Taiwan sweep the school grounds, keeping them clean and neat.",台灣的學生打掃校園，保持校園的乾淨整齊。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=TYx6kP-un4A
swimming class (n.),游泳課,The students learn how to swim in swimming class.,同學們在游泳課時學習如何游泳。,They learn the basics of swimming in swimming class.,他們在游泳課時學習游泳的基本動作。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=usipIvFTP0I
math class (n.),數學課,The students are in math class.,學生們正在上數學課。,The teacher teaches math in math class.,老師在數學課教數學。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=gkibdVSyksw
jump rope (n.),跳繩,The kids jump rope to get some exercise.,小朋友跳繩做運動。,"When the weather is nice, you can go outside to jump rope!",當天氣不錯時，你可以到外面跳繩。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=bn5sWLjsboI
professional development (n.),專業進修,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,南投縣南投市西嶺國小,https://www.youtube.com/watch?v=U1nBfTdDTZs
Chinese class (n.),國語課,The students are in Chinese class.,同學們正在上國語課。,They learn Chinese characters in Chinese class.,他們在國語課學習中文字。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=zCiOYV8l7jg
math class (n.),數學課,The students are in math class.,學生們正在上數學課。,The teacher teaches math in math class.,老師在數學課教數學。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=0JHM3kwDZuk
art project (n.),藝術作品,The students work on their art project in class.,學生們在課堂上完成他們的藝術專案。,They use glue and scissors for their art project.,他們在藝術項目中使用膠水和剪刀。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=Tc6H9V8zjB8
horizontal plane (adj.),水平面,The students learn about the horizontal plane in science class.,學生在科學課上學習水平面。,They do different experiments to learn about the horizontal plane.,他們做了不同的實驗來了解水平面。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=krEHMpd7jsg
string instrument (n.),弦樂器,String instruments are any musical instruments that are played with a bow.,弦樂器是用弓演奏的任何樂器。,Some examples of string instuments are the cello and the violin.,弦樂器的一些例子是大提琴和小提琴。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=w2c4NtYHxCY
band (n.),樂隊,The students in the school band play their instruments.,學校樂隊的學生演奏樂器。,The band plays their instruments outside.,樂隊在外面演奏樂器。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=diinKqr9p08
present (v.),發表、呈現,The students present their drawings to the class.,學生們向全班展示他們的畫作。,They present their drawings one by one.,他們一一展示自己的畫作。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=j4Tv2qRSx6c
read (v.),閱讀,The student chooses a book to read.,學生選擇一本書閱讀。,The student reads a book.,學生們在讀書。,彰化縣彰化市聯興國小,https://www.youtube.com/watch?v=QB8wSUr6Ygg
swimming class (n.),游泳課,The students learn to swim in swimming class.,學生在游泳課上學習游泳。,The students use the pool in swimming class.,學生在游泳課上使用游泳池。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=4ndxH1qvy-U
library (n.),圖書館,The students check out books at the library.,學生在圖書館借書。,They check out books from the library to study at home.,他們從圖書館借書在家學習。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=S78rxX6etrY
pile (v.),堆疊,The students are carrying the piled-up books.,學生們搬運著堆積如山的書本。,"When the books are piled up, it is easy to carry more than one book at once.",當書堆放起來時，很容易同時攜帶多本書。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=FX-IsSnb4e8
foreign teacher (n.),外國老師,The foreign teacher is teaching English to the students.,外國老師的正在教學生英語。,The students are listening carefully to the foreign teacher.,學生們正在認真聽外國老師的上課。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=uP6VifVDOQk
technology center (n.),科技中心,The students visit a technology center.,學生們參觀科技中心。,They learn about different technologies at the technology center.,他們在科技中心學習不同的技術。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=6Ztl4yiKKqQ
prize (n.),獎品,The students go to the table to choose a prize.,學生們到桌前選擇獎品。,They turn in their points to receive a prize.,他們交出點數兌換獎品。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=F3KOY6J5_zE
tree bark rubbing (n.),樹幹拓印,The students do a tree bark rubbing activity outside.,學生們在外面進行樹幹拓印的活動。,They use paper and crayons for the tree bark rubbing activity.,他們使用紙和蠟筆進行樹幹拓印活動。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=srsmofH77No
dodgebee (n.),躲避盤,The students are playing dodgebee.,學生們正在玩躲飛盤遊戲。,"Dodgebee is like dodgeball, except a soft frisbee is used instead of a ball.",躲避飛盤類似於躲避球，只不過用的是軟飛盤而不是球。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=nUL35IcEtxw
class dismissal (n.),放學,The students line up outside for class dismissal.,同學們在外面排隊準備放學。,They go home after class dismissal.,他們在放學後回家。,彰化縣和美鎮新庄國小,https://www.youtube.com/watch?v=28fWiWD7pq8
playground (n.),遊樂場,The students play different games at the school playground.,學生們在學校遊樂場上玩著不同的遊戲。,The playground has monkey bars for students to hang on.,遊樂場有攀爬架讓學生懸吊。,彰化縣鹿港鎮頂番國小,https://www.youtube.com/watch?v=vdki_WYVM1M
pottery wheel (n.),陶輪,Pottery wheel is used to create useful objects.,陶輪用於製造有用的物品。,Cups and vases are made using a pottery wheel.,杯子和花瓶是用陶輪製成的,彰化縣田中鎮大安國小,https://www.youtube.com/watch?v=HlD8hzOSy4g
recycling (n.),回收,Recycling is a way to reuse materials like paper and plastic.,資源回收是將紙類和塑膠之類的材質再次回收使用。,Recycling can help take care of the planet.,資源回收有助於照顧我們的地球。,彰化縣田中鎮田中國小,https://www.youtube.com/watch?v=lf7A-eQ4-y4
artwork (n.),藝術作品,The students share interesting facts about Van Gogh's artwork.,學生分享有關梵高藝術作品的有趣事實。,There are different pieces of Van Gogh's artwork on display.,有梵谷的不同作品展示中。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=C7oJu5gYUSw
friction (n.),摩擦力,The students learn about friction in science class.,學生在科學課上學習摩擦力。,They work in groups to do experiments on friction.,他們分組進行摩擦實驗。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=ZfB0vXC9d94
cart (n.),餐車,The students clean the cart.,學生清理餐車。,The cart is used to move lunch for teachers and students.,餐車用於為教師和學生運送午餐。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=_mWKzGlgvQc
dance routine (n.),舞蹈動作,"The girls work very hard, rehearsing their dance routines with their instructor.",這群女孩子很認真和老師排練他們的舞步。,"Once they know the moves like the backs of their hands, the girls perform their dance routines in front of their classmates.",一旦他們將舞步練到很熟之後，他們在同學的面前表演。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=6em5wMfq-dI
dentist (n.),牙醫,The dentist visits the school to check the students' teeth.,牙醫到學校檢查學生的牙齒。,The dentist works in the nurse's office.,牙醫在護士辦公室工作。,彰化縣竹塘鄉竹塘國小,https://www.youtube.com/watch?v=gyQmd3Y4sOI
shopping (n.),購物,The students go to the store to go shopping.,學生們去商店購物。,They buy candy when they go shopping.,他們去購物時買糖果。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=NF8DsgkxAMc
presentation (n.),介紹,The teacher makes a presentation on Indonesian turmeric rice.,老師介紹印尼薑黃米。,The students listen to the teacher's presentation.,學生們聆聽老師的簡介說明。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=ahSwoa-NB34
tennis practice (n.),網球訓練,The students participate in tennis practice.,學生們參加網球練習。,They hit the tennis ball with their racquets during tennis practice.,他們在網球練習中用球拍擊打網球。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=-nqP48qAieo
game (n.),遊戲,The students play games to learn addition.,學生們透過玩遊戲來學習加法。,They play games in pairs.,他們兩人一組玩遊戲。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=Fd_zeN6kwog
story (n.),故事,The students write a story in class.,學生在課堂上寫一個故事。,They draw a picture for their story.,他們為自己的故事畫了一幅圖畫。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=Kig5Bhmtqvk
race (n.),賽跑,The students run in a relay race outside.,學生們在外面進行接力賽。,They have to go through a hula hoop and tag their teammate in the race.,他們必須穿過呼拉圈並在比賽中標記他們的隊友。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=QUCY5A3Asq8
badminton (n.),羽球,The students play badminton outside.,學生在外面打羽毛球。,They practice hitting the shuttlecock while playing badminton.,他們一邊打羽毛球，一邊練習打羽毛球。,彰化縣福興鄉永豐國小,https://www.youtube.com/watch?v=q5-VRLeLZWg
tambourine (n.),鈴鼓,The students practice the tambourine in class.,學生在課堂上練習鈴鼓。,They play tambourines together.,他們一起練習鈴鼓。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=PGdigN3OQ_8
sing (v.),唱,The students sing the song in class.,學生們在課堂上唱這首歌。,The students sing along in class to the music.,學生們在課堂上跟著音樂唱歌。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=FfLrdz9_RpU
professional development (n.),專業進修,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,彰化縣員林市崇實高工,https://www.youtube.com/watch?v=dlrWhrYKC6k
write (v.),寫,The students write in their workbooks.,同學們在習作本上寫字。,They are focused on writing neatly.,他們很專注把字寫工整。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=5vRUQv4sQ1w
Chinese characters (n.),國字,The students learn Chinese characters in class.,同學們在課堂上學習國字。,They read and write Chinese characters.,他們閱讀並書寫國字。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=gJ7FUfQjTPY
badminton (n.),羽球,The students play badminton in class.,學生在課堂上打羽毛球。,They compete against each other in badminton.,他們在羽球比賽中互相競爭。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=kkvRsvyUyuw
ballet (n.),芭蕾舞,The students are in ballet class.,學生們正在上芭蕾舞課。,They do classical ballet dances in ballet class.,他們在芭蕾舞課上跳古典芭蕾。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=6QnqvHzT3FY
rice ball (n.),元宵,The students make rice balls in class.,學生在課堂上做元宵。,Rice balls are made for certain holidays in Taiwan.,這些元宵是為台灣的某些節慶而製作的。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=7gyI1C_F2wc
coloring contest (n.),著色比賽,The students participate in a coloring contest.,學生參加填色比賽。,They have to color the same drawings in the coloring contest.,他們必須在填色比賽中為相同的圖畫著色。,彰化縣竹塘鄉竹塘國小,https://www.youtube.com/watch?v=0AjcAuWRjEg
maintain (v.),維護,The teacher takes the time to maintain her garden.,老師花時間打理她的花園。,She maintains her garden by keeping it clean and watering it.,她透過保持花園清潔和澆水來維護花園。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=H7kK2bmIVoI
read (v.),閱讀,The student chooses a book to read.,學生選擇一本書閱讀。,The student reads a book.,學生們在讀書。,彰化縣社頭鄉朝興國小,https://www.youtube.com/watch?v=6F8vq4d2KoU
reading log (n.),閱讀紀錄本,The school showcases students' reading logs for browsing.,學校展示學生的閱讀紀錄本供瀏覽。,These reading logs feature thoughts from their story readings.,這些閱讀紀錄本包含了他們閱讀故事時的想法。,彰化縣竹塘鄉竹塘國小,https://www.youtube.com/watch?v=YTAaRcZ5Qi4
writing contest (n.),作文比賽,The students participate in a writing contest.,學生參加作文比賽。,They have limited time to write in the writing contest.,他們在作文比賽中寫作的時間有限。,彰化縣竹塘鄉竹塘國小,https://www.youtube.com/watch?v=pSD46o-lBFw
wash (v.),洗,The students wash their hands.,學生們洗手。,They wash their hands with soap.,他們用肥皂洗手。,彰化縣田中鎮大安國小,https://www.youtube.com/watch?v=nqHezeViyaY
Chinese class (n.),國語課,The students are participating in Chinese class.,學生們正在上國語課。,They use a dictionary in Chinese class.,他們在國語課上使用字典。,彰化縣鹿港鎮頂番國小,https://www.youtube.com/watch?v=WdRph3pZchM
flute (n.),長笛,The students practice the flute in class.,學生在課堂上練習長笛。,They play the flute together in music class.,他們在音樂課一起吹長笛。,彰化縣田中鎮大安國小,https://www.youtube.com/watch?v=jhyrsJGY1OY
constellation (n.),星座,The students look at different constellations on their iPads.,學生在 iPad 上觀察不同的星座。,They learn about constellations in science class.,他們在科學課上學習星座。,彰化縣田中鎮大安國小,https://www.youtube.com/watch?v=6CZZ2Nff7RM
art class (n.),美術課,The students draw in art class.,學生在美術課上畫畫。,They draw many different things in art class.,他們在美術課上畫了很多不同的東西。,彰化縣鹿港鎮頂番國小,https://www.youtube.com/watch?v=dLFDF52xOE0
height (n.),身高,The nurse is measuring the students' heights.,護理師正在量學生的身高。,The school measures students' heights to track their growth.,學校量學生的身高來追蹤他們的成長。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=AbP3UnbehKg
library (n.),圖書館,The students go and learn about the library.,同學們到圖書館參觀學習。,They learn about all the things they can do at the library.,他們學習在圖書館能夠做的事情。,彰化縣永靖鄉福德國小,https://www.youtube.com/watch?v=iubyq-RrpqM
spelling contest (n.),拼字比賽,"In the spelling contest, the teacher reads aloud a word for students to spell.",在拼字比賽中，老師大聲讀出一個單字讓學生拼出來。,The students write the word and hold up their paper in the spelling contest.,在拼字比賽中，同學們將字寫下來並且將他們的白板舉高。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=57Hhz_9UgHg
